ft,bt,transmission,price,Seats,Mileage,city
Petrol,Hatchback,Manual,5.13,5,20.52,bangalore
Petrol,Hatchback,Manual,6.5,5,21.01,bangalore
Diesel,Hatchback,Manual,8.06,5,24.4,bangalore
Petrol,Hatchback,Automatic,7.25,5,21.4,bangalore
Diesel,Sedan,Automatic,49.5,5,17.42,bangalore
Petrol,Hatchback,Manual,4.26,5,18.9,bangalore
Petrol,Hatchback,Manual,4.85,5,23.95,bangalore
Petrol,Hatchback,Manual,3.51,5,19.4,bangalore
Petrol,Hatchback,Manual,4.9,5,21.46,bangalore
Diesel,SUV,Manual,14.95,7,16.0,bangalore
Diesel,Hatchback,Manual,5.1,5,25.2,bangalore
Diesel,SUV,Automatic,27.5,5,18.56,bangalore
Petrol,Hatchback,Automatic,10.25,5,17.21,bangalore
Diesel,SUV,Automatic,23.45,5,15.73,bangalore
Diesel,Sedan,Manual,8.25,5,21.13,bangalore
Diesel,SUV,Manual,6.75,5,21.7,bangalore
Diesel,Hatchback,Manual,1.9,5,20.0,bangalore
Diesel,Sedan,Automatic,8.9,5,17.68,bangalore
Petrol,SUV,Automatic,8.23,5,19.03,bangalore
Petrol,Hatchback,Manual,5.54,5,22.38,bangalore
Petrol,Sedan,Manual,4.99,5,22.41,bangalore
Petrol,SUV,Automatic,8.15,5,19.03,bangalore
Petrol,Hatchback,Manual,7.19,5,21.01,bangalore
Petrol,Hatchback,Manual,3.72,5,25.24,bangalore
Petrol,Hatchback,Automatic,5.15,5,23.1,bangalore
Petrol,Hatchback,Manual,5.54,5,18.7,bangalore
Petrol,Sedan,Manual,7.0,5,20.3,bangalore
Petrol,Hatchback,Manual,4.1,5,22.38,bangalore
Petrol,Sedan,Manual,6.85,5,20.73,bangalore
Petrol,Sedan,Automatic,55.0,5,16.13,bangalore
Diesel,SUV,Automatic,18.0,5,17.8,bangalore
Petrol,Hatchback,Manual,1.8,5,18.9,bangalore
Petrol,SUV,Manual,7.65,5,17.0,bangalore
Petrol,SUV,Manual,19.5,5,13.79,bangalore
Petrol,Sedan,Manual,4.91,5,16.3,bangalore
Diesel,SUV,Manual,11.75,5,21.7,bangalore
Petrol,SUV,Manual,9.99,5,15.9,bangalore
Petrol,Hatchback,Automatic,7.15,5,21.21,bangalore
Diesel,Sedan,Automatic,34.0,5,18.25,bangalore
Petrol,SUV,Automatic,17.79,5,12.0,bangalore
Petrol,Hatchback,Manual,4.04,5,18.5,bangalore
Petrol,Hatchback,Manual,3.58,5,19.81,bangalore
Petrol,Hatchback,Automatic,5.81,5,20.89,bangalore
Petrol,Hatchback,Manual,6.3,5,18.6,bangalore
Petrol,Hatchback,Manual,5.6,5,18.7,bangalore
Diesel,SUV,Manual,15.51,7,15.1,bangalore
Petrol,Sedan,Manual,5.25,5,17.01,bangalore
Petrol,Hatchback,Manual,5.01,5,23.1,bangalore
Petrol,Hatchback,Automatic,6.17,5,20.52,bangalore
Petrol,Hatchback,Manual,3.65,5,23.95,bangalore
Petrol,Sedan,Automatic,9.95,5,18.3,bangalore
Petrol,Hatchback,Manual,7.75,5,18.6,bangalore
Diesel,SUV,Automatic,47.0,5,16.38,bangalore
Petrol,Sedan,Manual,7.7,5,17.7,bangalore
Petrol,Hatchback,Manual,7.25,5,22.0,bangalore
Petrol,Hatchback,Automatic,8.4,5,18.2,bangalore
Petrol,Hatchback,Manual,7.99,5,18.6,bangalore
Petrol,Hatchback,Automatic,13.8,5,15.5,bangalore
